Time,Gc
04:22:00,20
04:37:00,30
04:52:00,39
05:07:00,48
05:22:00,57
05:37:00,63
05:52:00,96
06:07:00,134
06:22:00,176
06:37:00,221
06:52:00,269
07:07:00,318
07:22:00,369
07:37:00,420
07:52:00,471
08:07:00,521
08:22:00,570
08:37:00,618
08:52:00,664
09:07:00,707
09:22:00,748
09:37:00,786
09:52:00,821
10:07:00,853
10:22:00,881
10:37:00,905
10:52:00,926
11:07:00,942
11:22:00,955
11:37:00,963
11:52:00,967
12:07:00,967
12:22:00,963
12:37:00,955
12:52:00,942
13:07:00,926
13:22:00,905
13:37:00,881
13:52:00,853
14:07:00,821
14:22:00,786
14:37:00,748
14:52:00,707
15:07:00,664
15:22:00,618
15:37:00,570
15:52:00,521
16:07:00,471
16:22:00,420
16:37:00,369
16:52:00,318
17:07:00,269
17:22:00,221
17:37:00,176
17:52:00,134
18:07:00,96
18:22:00,63
18:37:00,57
18:52:00,48
19:07:00,39
19:22:00,30
19:37:00,20
19:52:00,10
